date,mountain,value
1978,Berthoud.Pass,7
1978,Monarch,6.4
1978,Powderhorn,13.6
1978,Purgatory,13.7
1978,Vail,10.4
1979,Berthoud.Pass,23.3
1979,Monarch,20.1
1979,Purgatory,32.2
1979,Vail,34.3
1980,Berthoud.Pass,27.1
1980,Eldora,18.8
1980,Monarch,21
1980,Powderhorn,41.2
1980,Purgatory,31.6
1980,Steamboat,59.8
1980,Vail,31.4
1981,Aspen,12.6
1981,Berthoud.Pass,13.8
1981,Breckenridge,14.4
1981,Crested_Butte,9
1981,Eldora,5.7
1981,Loveland,9.8
1981,Monarch,10.2
1981,Powderhorn,17.9
1981,Purgatory,4.5
1981,squaw,38.4
1981,Steamboat,32.2
1981,Telluride,17.9
1981,Vail,15.7
1982,Aspen,20.8
1982,Berthoud.Pass,23.6
1982,Breckenridge,22.6
1982,Crested_Butte,20.1
1982,Eldora,10.5
1982,Loveland,22
1982,Monarch,21.6
1982,Powderhorn,41
1982,Purgatory,17.1
1982,squaw,92.1
1982,Steamboat,59.9
1982,Telluride,33.1
1982,Vail,31.6
1983,Aspen,19.1
1983,Berthoud.Pass,32.6
1983,Breckenridge,24.8
1983,Crested_Butte,17.1
1983,Eldora,14
1983,Loveland,26.5
1983,Monarch,23.3
1983,Powderhorn,50.2
1983,Purgatory,18.5
1983,squaw,110.2
1983,Steamboat,63.9
1983,Telluride,37
1983,Vail,37.3
1984,Aspen,26.7
1984,Berthoud.Pass,33.4
1984,Breckenridge,29.1
1984,Crested_Butte,25.1
1984,Eldora,18.9
1984,Loveland,28.9
1984,Monarch,27.4
1984,Powderhorn,39.5
1984,Purgatory,14.3
1984,squaw,49.6
1984,Steamboat,61.8
1984,Telluride,44.5
1984,Vail,39.1
1985,Aspen,17.8
1985,Berthoud.Pass,20.8
1985,Breckenridge,18.3
1985,Crested_Butte,19.5
1985,Eldora,11
1985,Loveland,17.8
1985,Monarch,17.3
1985,Powderhorn,38
1985,Purgatory,17.9
1985,squaw,33.1
1985,Steamboat,54.8
1985,Telluride,35.5
1985,Vail,27.8
1986,Aspen,19.5
1986,Berthoud.Pass,24.8
1986,Breckenridge,20.5
1986,Crested_Butte,24.1
1986,Eldora,11.1
1986,Loveland,23.1
1986,Monarch,16.3
1986,Powderhorn,39.3
1986,Purgatory,16.6
1986,Snowmass,21.6
1986,squaw,70.5
1986,Steamboat,70.4
1986,Telluride,27.3
1986,Vail,25.5
1987,Aspen,17.8
1987,Berthoud.Pass,17.5
1987,Breckenridge,18.5
1987,Crested_Butte,16.3
1987,Eldora,11.4
1987,Jackson Hole,17.3
1987,Loveland,13.3
1987,Monarch,17.3
1987,Powderhorn,34.5
1987,Purgatory,19
1987,Snowmass,15.9
1987,squaw,33.3
1987,Steamboat,38
1987,Telluride,34.1
1987,Vail,17.8
1987,Wolf_Creek,41.3
1988,Aspen,13.8
1988,Berthoud.Pass,22.6
1988,Breckenridge,18.6
1988,Crested_Butte,11.5
1988,Eldora,12.7
1988,Jackson Hole,23.8
1988,Loveland,16.8
1988,Monarch,15.1
1988,Powderhorn,28.5
1988,Purgatory,7.3
1988,Snowmass,15.6
1988,squaw,29.7
1988,Steamboat,55.6
1988,Telluride,22.8
1988,Vail,22
1988,Wolf_Creek,25.7
1989,Aspen,16.6
1989,Berthoud.Pass,21.5
1989,Breckenridge,19.3
1989,Crested_Butte,14.7
1989,Eldora,12.9
1989,Jackson Hole,38.7
1989,Loveland,14.4
1989,Monarch,13.1
1989,Powderhorn,29.8
1989,Purgatory,17.5
1989,Snowmass,19.6
1989,squaw,54.5
1989,Steamboat,52.6
1989,Telluride,24.6
1989,Vail,21.3
1989,Wolf_Creek,38.7
1990,Aspen,14.1
1990,Berthoud.Pass,15.9
1990,Breckenridge,19.5
1990,Crested_Butte,7.7
1990,Eldora,16.2
1990,Jackson Hole,23.1
1990,Loveland,16.7
1990,Monarch,13.5
1990,Powderhorn,23.1
1990,Purgatory,5
1990,snowbird,34
1990,Snowmass,10.5
1990,squaw,27.9
1990,Steamboat,49.5
1990,Telluride,21
1990,Vail,19.9
1990,Wolf_Creek,30.6
1991,Aspen,17.4
1991,Berthoud.Pass,23.8
1991,Breckenridge,21.2
1991,Crested_Butte,12.9
1991,Eldora,10.1
1991,Jackson Hole,29
1991,Loveland,13
1991,Monarch,12.6
1991,Powderhorn,28.8
1991,Purgatory,15.6
1991,snowbird,40
1991,Snowmass,17.5
1991,squaw,33.2
1991,Steamboat,52
1991,Telluride,25.7
1991,Vail,27.4
1991,Wolf_Creek,40.6
1992,Aspen,14.2
1992,Berthoud.Pass,23.3
1992,Big Sky,16.5
1992,Breckenridge,17.3
1992,Crested_Butte,11.7
1992,Eldora,13.9
1992,Jackson Hole,19
1992,Loveland,13
1992,Monarch,15.1
1992,Powderhorn,24.4
1992,Purgatory,10.9
1992,Revelstoke,9.3
1992,Revelstoke,4.2
1992,Revelstoke,15.1
1992,Revelstoke,4.8
1992,Revelstoke,14.8
1992,Revelstoke,12
1992,Revelstoke,13.7
1992,Revelstoke,13.8
1992,Revelstoke,14.5
1992,Revelstoke,9.9
1992,Revelstoke,9.1
1992,Revelstoke,5.7
1992,Revelstoke,5.4
1992,Revelstoke,8.8
1992,Revelstoke,4.4
1992,Revelstoke,10.3
1992,Revelstoke,12.6
1992,Revelstoke,8.6
1992,Revelstoke,3.9
1992,Revelstoke,4.7
1992,Revelstoke,7.7
1992,Revelstoke,7.8
1992,Revelstoke,8
1992,Revelstoke,10.6
1992,Revelstoke,10.8
1992,Revelstoke,11.7
1992,Revelstoke,15
1992,Revelstoke,14.6
1992,Revelstoke,7.2
1992,Revelstoke,12.7
1992,Revelstoke,10.7
1992,snowbird,23
1992,Snowmass,14.9
1992,squaw,33.7
1992,Steamboat,44.2
1992,Telluride,26.5
1992,Vail,23.1
1992,Wolf_Creek,29.1
1993,Aspen,24.8
1993,Berthoud.Pass,30.8
1993,Big Sky,21.4
1993,Breckenridge,24.2
1993,Crested_Butte,26.5
1993,Eldora,15.2
1993,Jackson Hole,34.6
1993,Loveland,24.3
1993,Monarch,22.5
1993,Powderhorn,49.5
1993,Purgatory,25.3
1993,Revelstoke,34.8
1993,Revelstoke,27.7
1993,Revelstoke,33.3
1993,Revelstoke,8.1
1993,Revelstoke,32.2
1993,Revelstoke,32
1993,Revelstoke,17.2
1993,Revelstoke,11.8
1993,Revelstoke,29.6
1993,Revelstoke,19.2
1993,Revelstoke,17
1993,Revelstoke,10.2
1993,Revelstoke,21.9
1993,Revelstoke,18.1
1993,Revelstoke,28.9
1993,Revelstoke,22.3
1993,Revelstoke,3
1993,Revelstoke,32.6
1993,Revelstoke,28.7
1993,Revelstoke,31.8
1993,Revelstoke,9.4
1993,Revelstoke,11.5
1993,Revelstoke,33.5
1993,Revelstoke,18.8
1993,Revelstoke,32.1
1993,Revelstoke,7.1
1993,Revelstoke,23
1993,Revelstoke,0.5
1993,Revelstoke,15.2
1993,Revelstoke,25.5
1993,Revelstoke,27
1993,Revelstoke,0.4
1993,Revelstoke,29.1
1993,Revelstoke,19.8
1993,Revelstoke,19.9
1993,Revelstoke,24.4
1993,Revelstoke,20.1
1993,Revelstoke,33.1
1993,Revelstoke,25.2
1993,Revelstoke,31.5
1993,Revelstoke,31.9
1993,Revelstoke,1.4
1993,Revelstoke,20.8
1993,Revelstoke,33
1993,Revelstoke,23.3
1993,Revelstoke,27.9
1993,Revelstoke,30.6
1993,Revelstoke,20.7
1993,Revelstoke,32.3
1993,Revelstoke,4.9
1993,Revelstoke,19.3
1993,Revelstoke,20.2
1993,Revelstoke,7.4
1993,Revelstoke,21
1993,Revelstoke,12.4
1993,Revelstoke,25.6
1993,Revelstoke,16.6
1993,Revelstoke,5.1
1993,Revelstoke,27.6
1993,Revelstoke,24.1
1993,Revelstoke,16.4
1993,Revelstoke,27.8
1993,Revelstoke,20.6
1993,Revelstoke,5
1993,Revelstoke,2.3
1993,Revelstoke,15.1
1993,Revelstoke,15.5
1993,Revelstoke,18.7
1993,Revelstoke,19
1993,Revelstoke,20.3
1993,Revelstoke,20.9
1993,Revelstoke,21.2
1993,Revelstoke,21.3
1993,Revelstoke,21.4
1993,Revelstoke,22.6
1993,Revelstoke,22.8
1993,Revelstoke,11.4
1993,Revelstoke,23.1
1993,Revelstoke,25.1
1993,Revelstoke,26
1993,Revelstoke,28.1
1993,Revelstoke,29.2
1993,Revelstoke,29.3
1993,Revelstoke,29.8
1993,Revelstoke,3.5
1993,Revelstoke,31.1
1993,Revelstoke,31.6
1993,Revelstoke,15.4
1993,Revelstoke,31.7
1993,Revelstoke,33.9
1993,Revelstoke,1.9
1993,Revelstoke,34
1993,Revelstoke,34.4
1993,Revelstoke,34.2
1993,Revelstoke,24.7
1993,Revelstoke,19.1
1993,Revelstoke,15.7
1993,Revelstoke,12.2
1993,Revelstoke,11.2
1993,Revelstoke,8.7
1993,Revelstoke,8.2
1993,Revelstoke,5.8
1993,Revelstoke,4.2
1993,Revelstoke,0.6
1993,Revelstoke,23.2
1993,Revelstoke,1.1
1993,Revelstoke,0
1993,Revelstoke,2.4
1993,Revelstoke,5.2
1993,Revelstoke,5.3
1993,Revelstoke,6.6
1993,Revelstoke,7.7
1993,Revelstoke,8
1993,Revelstoke,13.3
1993,Revelstoke,13.9
1993,Revelstoke,18
1993,Revelstoke,18.9
1993,Revelstoke,21.8
1993,Revelstoke,26.4
1993,Revelstoke,28.3
1993,Revelstoke,2.9
1993,Revelstoke,13
1993,Revelstoke,11.1
1993,Revelstoke,34.1
1993,Revelstoke,30.7
1993,Revelstoke,30.2
1993,Revelstoke,14.2
1993,Revelstoke,14.8
1993,Revelstoke,15.3
1993,Revelstoke,21.1
1993,Revelstoke,NA
1993,snowbird,66.9
1993,Snowmass,28.6
1993,squaw,99.9
